start_date,end_date,prod,precip,smos,temp,ndvi,region_id
1/1/2015,1/31/2015,171725,134.0727711,9.869761929,402.236816,2.310652704,93
2/1/2015,2/28/2015,188325,34.23059914,7.948768582,450.6375022,3.035829913,93
3/1/2015,3/31/2015,247856,132.2181125,7.680415959,355.265765,3.011017704,93
4/1/2015,4/30/2015,282791,297.0858747,7.552544364,377.8251385,2.363912664,93
5/1/2015,5/31/2015,291057,273.923247,8.553097929,378.9920366,2.427249465,93
6/1/2015,6/30/2015,287502,144.1747625,9.116484487,445.3297092,3.23553747,93
7/1/2015,7/31/2015,288086,172.1036127,9.227964737,367.8199922,3.17487617,93
8/1/2015,8/31/2015,313321,175.1100498,9.138547344,461.4803893,3.07109495,93
9/1/2015,9/30/2015,299337,132.4098661,8.38437283,143.693384,1.235830434,93
10/1/2015,10/31/2015,300383,176.1907295,8.557101651,284.8390725,3.108292364,93
11/1/2015,11/30/2015,246005,385.396268,11.47247725,181.2124277,1.517550744,93
12/1/2015,12/31/2015,201231,222.4413822,10.4112012,323.0312585,3.053625991,93
1/1/2016,1/31/2016,163841,105.1449919,10.10945368,401.7286044,1.569953105,93
2/1/2016,2/29/2016,166663,160.8907636,9.761602406,159.3631335,2.393553733,93
3/1/2016,3/31/2016,185974,87.15815049,7.963964135,545.1972953,3.132861022,93
4/1/2016,4/30/2016,200456,167.3281872,7.708851273,354.3200277,3.230355766,93
5/1/2016,5/31/2016,207485,231.8606982,8.186462656,322.1520779,3.258130702,93
6/1/2016,6/30/2016,229105,125.2247136,9.680510528,340.0337754,1.604299615,93
7/1/2016,7/31/2016,232726,136.487977,7.670317121,317.077273,2.419520699,93
8/1/2016,8/31/2016,264981,106.8280291,7.565147794,263.2407317,3.248174599,93
9/1/2016,9/30/2016,280248,175.1851813,7.509283221,305.3260771,2.379240211,93
10/1/2016,10/31/2016,284922,249.2935008,8.745280449,158.5217481,0.798701666,93
11/1/2016,11/30/2016,274107,293.7714735,9.34524884,27.39470377,0.714535396,93
12/1/2016,12/31/2016,254881,187.9095507,9.698478807,283.9683279,3.096704688,93
1/1/2017,1/31/2017,211810,336.2736406,11.10465826,228.8379978,0.814644782,93
2/1/2017,2/28/2017,214747,176.3477949,8.440393383,268.6414195,2.410864979,93
3/1/2017,3/31/2017,210002,254.1803925,10.04529128,373.4257532,3.18694054,93
4/1/2017,4/30/2017,216574,363.2806557,9.692177271,375.0029716,3.29262903,93
5/1/2017,5/31/2017,225834,342.4966927,10.41215906,229.3683361,2.481960125,93
6/1/2017,6/30/2017,205989,156.4169159,9.397790286,505.8358166,3.274273542,93
7/1/2017,7/31/2017,284963,110.6388447,10.13656752,425.5321935,3.233412748,93
8/1/2017,8/31/2017,293140,216.5835479,10.33830821,252.879902,3.233306213,93
9/1/2017,9/30/2017,295578,220.6870521,9.732236521,198.3981857,2.459148991,93
10/1/2017,10/31/2017,335271,250.0181593,9.82316295,292.8059629,2.430370937,93
11/1/2017,11/30/2017,326891,370.6362564,9.912101447,83.10692796,1.642293854,93
12/1/2017,12/31/2017,321723,221.9589057,12.440738,241.1267307,2.44173017,93
1/1/2018,1/31/2018,265944,362.2436553,12.54864659,136.590577,0.793595397,93
2/1/2018,2/28/2018,214754,92.19755209,10.09143321,443.3795223,3.134673219,93
3/1/2018,3/31/2018,251847,183.4494781,9.787637984,331.1333828,3.112070681,93
4/1/2018,4/30/2018,238014,257.3858593,9.821987958,204.7443299,2.395013883,93
